symbol,day,trade_number,wallet,achat,loss,profit,vente,pourcentage,benef
BTC/USDT,04/10/2020,12686,10219.54446120935,6907.18,6897.3819710880425,6921.877043367937,6911.87,0.000679003587571136,10226.483568561855
BTC/USDT,04/10/2020,12687,10226.483568561855,6905.0,6892.830166785221,6923.254749822168,6905.97,0.0001404779145547074,10227.920163646793
BTC/USDT,04/11/2020,12688,10227.920163646793,6894.96,6881.092359837396,6915.761460243907,6896.69,0.0002509079095454598,10230.486429714052
BTC/USDT,04/11/2020,12689,10230.486429714052,6890.35,6880.600910590771,6904.973634113845,6892.48,0.00030912798333890143,10233.648959352646
BTC/USDT,04/11/2020,12690,10233.648959352646,6896.93,6884.512846597192,6915.555730104213,6898.3,0.0001986391046450944,10235.681762219183
BTC/USDT,04/11/2020,12691,10235.681762219183,6900.84,6890.495162428423,6916.357256357365,6904.28,0.0004984900388937579,10240.784147618935
BTC/USDT,04/11/2020,12692,10240.784147618935,6902.45,6892.433696477426,6917.474455283861,6904.3,0.0002680207752320356,10243.528890525164
BTC/USDT,04/11/2020,12693,10243.528890525164,6921.99,6912.570014995544,6936.119977506683,6923.88,0.00027304286773028095,10246.32581302911
BTC/USDT,04/11/2020,12694,10246.32581302911,6918.51,6909.405848910892,6932.1662266336625,6925.27,0.0009770889974864846,10256.337385245683
BTC/USDT,04/11/2020,12695,10256.337385245683,6920.87,6910.313654553763,6936.704518169357,6923.0,0.00030776477523781104,10259.493924615816
BTC/USDT,04/11/2020,12696,10259.493924615816,6874.57,6862.7365427060995,6892.320185940851,6876.62,0.00029820046926574056,10262.553310518564
BTC/USDT,04/11/2020,12697,10262.553310518564,6866.73,6856.546356408685,6882.005465386972,6866.74,1.4562972477756194e-06,10262.568255846705
BTC/USDT,04/11/2020,12698,10262.568255846705,6860.88,6848.110795289081,6880.033807066379,6862.47,0.00023174869696017793,10264.946592667462
BTC/USDT,04/12/2020,12699,10264.946592667462,6871.04,6859.142426472654,6888.886360291019,6878.76,0.001123556259314493,10276.479837663182
BTC/USDT,04/12/2020,12700,10276.479837663182,6867.77,6858.182897080666,6882.150654379001,6868.77,0.00014560767177701058,10277.976171966407
BTC/USDT,04/12/2020,12701,10277.976171966407,6860.1,6848.245991175144,6877.881013237285,6861.44,0.00019533242955630908,10279.983794022999
BTC/USDT,04/12/2020,12702,10279.983794022999,6862.66,6850.759685976517,6880.510471035223,6865.88,0.0004692058181521822,10284.807222229665
BTC/USDT,04/12/2020,12703,10284.807222229665,6828.67,6818.29318578429,6844.235221323565,6829.75,0.00015815671280057863,10286.43383353172
